Date,Open,High,Low,Close,Volume
07/12/2023,"118.80","120.33","118.41","118.93","30,404,410"
07/11/2023,"116.29","117.71","115.35","117.14","23,078,779"
07/10/2023,"118.30","118.31","116.14","116.45","35,315,238"
07/07/2023,"120.10","121.05","119.40","119.48","21,709,551"
07/06/2023,"119.80","120.30","118.40","120.11","24,778,801"
07/05/2023,"119.24","122.61","119.23","121.75","27,584,811"
07/03/2023,"119.24","120.19","118.82","119.90","14,442,850"
06/30/2023,"120.17","121.08","119.69","119.70","29,532,240"
06/29/2023,"119.24","120.06","118.30","119.10","24,090,900"
06/28/2023,"117.09","120.39","116.85","120.18","27,091,449"
06/27/2023,"117.08","119.08","116.10","118.33","39,535,941"
06/26/2023,"120.76","122.00","118.27","118.34","33,969,898"
06/23/2023,"121.38","122.79","121.06","122.34","34,913,641"
06/22/2023,"120.00","123.24","118.83","123.15","26,952,250"
06/21/2023,"122.40","122.66","120.10","120.55","30,306,340"
06/20/2023,"122.93","124.57","122.14","123.10","26,097,490"
06/16/2023,"125.93","126.11","123.28","123.53","45,535,551"
06/15/2023,"123.14","125.46","122.40","125.09","35,246,273"
06/14/2023,"123.10","124.05","121.45","123.67","30,592,301"
06/13/2023,"124.98","125.16","123.18","123.83","22,278,311"
06/12/2023,"122.79","124.05","121.66","123.64","28,338,740"
06/09/2023,"122.25","123.76","121.91","122.23","23,778,320"
06/08/2023,"122.23","123.23","121.24","122.14","29,389,170"
06/07/2023,"126.97","129.04","122.12","122.50","52,538,992"
06/06/2023,"126.01","128.29","125.36","127.31","26,638,301"
06/05/2023,"124.01","127.43","123.84","126.01","32,305,529"
06/02/2023,"123.99","126.15","123.76","124.67","26,980,150"
06/01/2023,"122.82","124.42","122.62","123.72","30,772,680"
05/31/2023,"122.75","124.06","122.50","122.87","37,325,793"
05/30/2023,"125.64","125.66","122.00","123.67","35,076,660"
05/26/2023,"123.17","125.26","122.45","124.61","35,635,941"
05/25/2023,"124.52","125.32","121.96","123.48","42,316,992"
05/24/2023,"121.12","121.91","119.86","120.90","34,182,641"
05/23/2023,"124.16","124.63","122.21","122.56","34,046,246"
05/22/2023,"122.94","126.43","122.74","125.05","35,253,031"
